SEQUENCE,ENCODING
under,2883594
eu,2883594
green,2883594
deal,2883594
ambition,2883594
synergy,2883594
with,2883594
other,2883594
initiative,2883594
2030,2883594
eu,2883594
should,2883594
reduce,2883594
more,2883595
than,2883595
health,2883595
impact,2883595
premature,2883595
death,2883595
pollution,2883595
share,2883596
person,2883596
chronically,2883596
disturb,2883596
transport,2883596
noise,2883596
eu,2883597
ecosystem,2883597
pollution,2883597
threaten,2883597
biodiversity,2883597
nutrient,2883598
loss,2883598
risk,2883598
chemical,2883598
pesticide,2883598
more,2883598
hazardou,2883598
sale,2883598
antimicrobial,2883598
farm,2883598
animal,2883598
aquaculture,2883598
plastic,2883599
litter,2883599
microplastic,2883599
release,2883599
into,2883599
environment,2883599
significantly,2883600
total,2883600
waste,2883600
generation,2883600
residual,2883600
municipal,2883600
waste,2883600
motivation,2883607
plan,2883607
achievement,2883607
from,2883607
pathway,2883607
healthy,2883607
planet,2883607
there,2883610
urgency,2883610
fight,2883610
against,2883610
pollution,2883610
also,2883610
fight,2883610
fairnes,2883610
equality,2883610
pollution,2883611
also,2883611
threaten,2883611
biodiversity,2883611
significantly,2883611
contribute,2883611
ongoing,2883611
extinction,2883611
specie,2883611
economic,2883612
progress,2883612
pollution,2883612
reduction,2883612
together,2883612
growth,2883612
global,2883612
economy,2883612
past,2883612
five,2883612
decade,2883612
come,2883612
massive,2883612
cost,2883612
global,2883612
environment,2883612
economic,2883613
case,2883613
pollution,2883613
clear,2883613
benefit,2883613
society,2883613
outweigh,2883613
cost,2883613
just,2883613
cost,2883613
inaction,2883613
hugely,2883613
outweigh,2883613
cost,2883613
action,2883613
pollution,2883615
stop,2883615
border,2883615
implement,2883620
exist,2883620
eu,2883620
regulatory,2883620
framework,2883620
protect,2883620
freshwater,2883620
ocean,2883620
fast,2883620
good,2883620
framework,2883620
regularly,2883620
statu,2883620
eu,2883620
soil,2883620
pollutionrelated,2883621
eutrophication,2883621
threaten,2883621
biodiversity,2883621
water,2883603
framework,2883603
directive,2883603
marine,2883622
strategy,2883622
framework,2883622
directive,2883622
urban,2883623
waste,2883623
water,2883623
treatment,2883623
directive,2883623
evaluation,2883623
sewage,2883623
sludge,2883623
directive,2883623
pollution,2883624
from,2883624
pesticide,2883624
water,2883624
soil,2883624
eu,2883604
soil,2883604
strategy,2883604
industrial,2883626
emission,2883626
directive,2883626
main,2883626
instrument,2883626
regulate,2883626
water,2883626
soil,2883626
pollutant,2883626
emission,2883626
production,2883615
consumption,2883615
kill,2883627
agenda,2883592
core,2883627
green,2883627
skill,2883627
labor,2883627
market,2883627
education,2883628
environmental,2883628
sustainability,2883628
european,2883628
competence,2883628
framework,2883628
climate,2883628
change,2883628
sustainable,2883628
development,2883628
post,2883629
2020,2883629
global,2883629
framework,2883629
biodiversity,2883629
right,2883630
incentive,2883630
reduce,2883630
pollution,2883630
diligence,2883630
duty,2883630
zero,2883632
pollution,2883632
monitor,2883632
outlook,2883632
framework,2883632
pollution,2883595
control,2883634
mobile,2883639
substance,2883639
chemical,2883640
strategy,2883640
sustainability,2883640
mobile,2883639
substance,2883639
control,2883635
particulate,2883638
aircleaning,2883644
device,2883644
landfill,2883645
emission,2883652
control,2883652
device,2883652
abate,2883652
particulate,2883652
gase,2883652
scrub,2883652
liquid,2883652
control,2883664
gase,2883664
absorption,2883665
scrubber,2883651
pack,2883667
scrubber,2883667
flue,2883671
desulfurization,2883671
adsorption,2883665
incineration,2883665
carbon,2883665
sequestration,2883665
water,2883688
pollution,2883688
urban,2883692
development,2883692
mine,2883640
marine,2883698
dump,2883698
leakage,2883699
burn,2883700
fossil,2883700
fuel,2883700
sewer,2883702
leakage,2883702
global,2883703
warm,2883703
radioactive,2883704
waste,2883704
animal,2883705
waste,2883705
acid,2883677
rain,2883677
wastewater,2883635
treatment,2883635
water,2883711
conservation,2883711
septic,2883713
tank,2883713
stormwater,2883715
management,2883715
denitrification,2883717
ozone,2883718
wastewater,2883718
treatment,2883718
soil,2883762
pollution,2883762
management,2883762
soil,2883592
earth,2883686
dirt,2883763
solid,2883763
phase,2883763
porou,2883680
phase,2883763
water,2883592
presence,2883764
chemical,2883764
substance,2883764
place,2883764
andor,2883764
present,2883764
soil,2883764
higherthannormal,2883764
concentration,2883764
adverse,2883764
effect,2883764
nontargeted,2883764
organism,2883764
soil,2883764
contamination,2883764
soil,2883592
pollution,2883592
land,2883764
pollution,2883764
impact,2883794
soil,2883794
pollution,2883794
confine,2883794
soil,2883794
biotum,2883794
carry,2883794
over,2883794
every,2883794
aspect,2883794
environment,2883794
affect,2883794
every,2883794
organism,2883794
from,2883794
earthworm,2883794
human,2883794
human,2883794
health,2883794
growth,2883794
plant,2883794
pollution,2883794
diminish,2883794
soil,2883794
fertility,2883794
impact,2883794
scene,2883794
odor,2883794
contamination,2883794
change,2883794
soil,2883794
structure,2883794
impact,2883794
ecosystem,2883794
biodiversity,2883794
taint,2883794
water,2883794
source,2883794
biochar,2883801
practice,2883801
soil,2883795
remediation,2883795
biochar,2883801
biomassderived,2883801
black,2883801
carbon,2883801
valuable,2883801
amendment,2883801
sustainable,2883801
agriculture,2883801
phytoremediation,2883797
